,Open Bid_x,Open Bid_y,Long Swap USDPLN,Short Swap USDPLN,open_1
2005-01-03,2.16,2.14,-3.9556962025316456e-05,3.4827123195703256e-05,5.5303
2005-01-04,2.27,2.015,-3.678219503907577e-05,3.358208955223881e-05,5.5106
2005-01-05,2.25,2.07,-0.0001102564102564,0.0001035353535353,5.602
2005-01-06,2.23,2.07,-3.715170278637771e-05,3.3950617283950624e-05,5.609
2005-01-07,2.23,2.015,-3.715170278637771e-05,3.3950617283950624e-05,5.6359
2005-01-08,2.26,2.08,-3.740627130197684e-05,3.418163672654691e-05,5.6359
2005-01-09,2.26,2.05,-3.740627130197684e-05,3.418163672654691e-05,5.6359
2005-01-10,2.23,2.015,-3.792569659442724e-05,3.4848484848484856e-05,5.6866
2005-01-11,2.26,2.07,-3.740627130197684e-05,3.478478478478479e-05,5.6636
2005-01-12,2.27,2.015,-0.0001103465851172,0.0001047979797979,5.6713
2005-01-13,2.27,2.07,-3.678219503907577e-05,3.399668325041459e-05,5.6113
2005-01-14,2.24,2.015,-3.763717421124829e-05,3.478478478478479e-05,5.6701
2005-01-15,2.25,2.05,-3.632478632478632e-05,3.114478114478114e-05,5.6701
2005-01-16,2.25,2.05,-3.632478632478632e-05,3.1323877068557915e-05,5.6701
2005-01-17,2.25,2.015,-3.709401709401709e-05,3.368263473053892e-05,5.672
2005-01-18,2.25,2.07,-3.6752136752136745e-05,3.3718206157965195e-05,5.7068
2005-01-19,2.27,2.015,-0.0001103465851172,0.0001007462686567,5.7098
2005-01-20,2.26,2.015,-3.655419222903886e-05,3.37658017298736e-05,5.718
2005-01-21,2.27,2.015,-3.678219503907577e-05,3.432359852299429e-05,5.7418
2005-01-22,2.27,2.05,-3.6357458375807e-05,3.3718206157965195e-05,5.7418
2005-01-23,2.27,2.05,-3.6357458375807e-05,3.3718206157965195e-05,5.7418
2005-01-24,2.3,2.09,-3.5774410774410783e-05,3.2626561472715315e-05,5.7036
2005-01-25,2.3,2.015,-3.535353535353536e-05,3.353353353353353e-05,5.7133
2005-01-26,2.28,2.015,-0.0001097560975609,9.891196834817014e-05,5.7289
2005-01-27,2.4,2.12,-3.431372549019608e-05,3.238049095607236e-05,5.6891
2005-01-28,2.47,2.015,-3.2660902977905856e-05,3.0125195618153373e-05,5.711
2005-01-29,2.49,2.015,-3.311047437121935e-05,2.9800809212573925e-05,5.711
